Material	Short text	SKF	FAG	SNR	KOYO	EZO	NTN	NSK	RHP	ROLLWAY	TIMKEN	INA		
101803093	Подшипник 6904				Подшипник KOYO 6904									
101803094	Подшипник 6905				Подшипник KOYO 6905									
101803097	Подшипник 6907				Подшипник KOYO 6907									
101803098	Подшипник 7309HG1DTJ74			Подшипник SNR 7309HG1DTJ74										
101803103	Подшипник 7005CVUJ74			Подшипник SNR 7005CVUJ74										
101803107	Подшипник 6410N	Подшипник SKF 6410N	Подшипник FAG 6410N											
101803110	Подшипник 6908				Подшипник KOYO 6908									
101803115	Подшипник 6909				Подшипник KOYO 6909									
101803116	Подшипник 6911				Подшипник KOYO 6911									
101803118	Подшипник 6912				Подшипник KOYO 6912									
101805955	Подшипник 200ШХ				Подшипник KOYO 6200									
101805957	Подшипник 202				Подшипник KOYO 6202									
101806000	Подшипник 6915				Подшипник KOYO 6915									
101806617	Подшипник 6410N	Подшипник SKF 6410N	Подшипник FAG 6410N											
101806619	Подшипник 6410N	Подшипник SKF 6410N	Подшипник FAG 6410N											
101806711	Подшипник 125	Подшипник SKF 125												
101806712	Подшипник 6001			Подшипник SNR 6001										
101806713	Подшипник 6002			Подшипник SNR 6002										
101818178	Подшипник ZARN2052TN											Подшипник INA ZARN2052TN		
101818195	Подшипник 6003				Подшипник KOYO 6003			Подшипник NSK EN3						
101818196	Подшипник 694-2Z					Подшипник EZO 694-2Z								
101818253	Подшипник ZARN3570TN											Подшипник INA ZARN3570TN		
101820595	Подшипник 696-2Z					Подшипник EZO 696-2Z								
101820673	Подшипник ZARN3570TN											Подшипник INA ZARN3570TN		
101820675	Подшипник ZARN3570TNA											Подшипник INA ZARN3570TNA		
101820676	Подшипник ZARN4075TN											Подшипник INA ZARN4075TN		
101820700	Подшипник ZARN4075-TV											Подшипник INA ZARN4075-TV		
101820701	Подшипник NK40/30				Подшипник KOYO NK40/30									
101820703	Подшипник NK50/25				Подшипник KOYO NK50/25									
101820704	Подшипник K25X30X20H				Подшипник KOYO K25X30X20H									
101821157	Подшипник NK25/16				Подшипник KOYO NK25/16									
101822768	Подшипник NK29/20				Подшипник KOYO NK29/20									
101822876	Подшипник 32213JR	Подшипник SKF 32213JR			Подшипник KOYO 32213JR									
101822917	Подшипник 698-2Z				Подшипник KOYO 698-2Z									
101822940	Подшипник 6800ZZP				Подшипник KOYO 6800ZZP									
101822948	Подшипник 6900ZZ				Подшипник KOYO 6900ZZ									
101823565	Подшипник 6902-2Z				Подшипник KOYO 6902-2Z									
101823574	Подшипник 6009			Подшипник SNR 6009										
101823577	Подшипник 6011			Подшипник SNR 6011										
101823591	Подшипник 1204К				Подшипник KOYO 1204К									
101823592	Подшипник 33109JR				Подшипник KOYO 33109JR									
101823596	Подшипник 1205K				Подшипник KOYO 1205K									
101830878	Подшипник 1207K				Подшипник KOYO 1207K									
101830919	Подшипник 1208K				Подшипник KOYO 1208K									
101830931	Подшипник 1209K				Подшипник KOYO 1209K									
101835845	Подшипник 1210K				Подшипник KOYO 1210K									
101835891	Подшипник 1211K				Подшипник KOYO 1211K									
101835892	Подшипник 1212K				Подшипник KOYO 1212K									
101835895	Подшипник 1212К				Подшипник KOYO 1212К									
101835899	Подшипник 1213К				Подшипник KOYO 1213К									
101835901	Подшипник 1306К				Подшипник KOYO 1306К									
101835902	Подшипник 32948R	Подшипник SKF 32948R												
101835904	Подшипник NUP409	Подшипник SKF NUP409												
101835906	Подшипник RNA6919	Подшипник SKF RNA6919												
101836026	Подшипник RNA6915				Подшипник KOYO RNA6915									
101836104	Подшипник GE12E	Подшипник SKF GE12E												
101840349	Подшипник 1309К				Подшипник KOYO 1309К									
101840350	Подшипник 1310К				Подшипник KOYO 1310К									
101840351	Подшипник 1311К				Подшипник KOYO 1311К									
101840352	Подшипник 1312К				Подшипник KOYO 1312К									
101840353	Подшипник 1313К									Подшипник ROLLWAY 1313К				
101873071	Подшипник 1315К				Подшипник KOYO 1315К									
101878618	Подшипник 1320К				Подшипник KOYO 1320К									
101878619	Подшипник 1322К	Подшипник SKF 1322К												
101878650	Подшипник 2207К	Подшипник SKF 2207К												
101878651	Подшипник 2308К				Подшипник KOYO 2308К									
101878884	Подшипник 2311К				Подшипник KOYO 2311К									
101881314	Подшипник 6012				Подшипник KOYO 6012			Подшипник NSK ЕN12						
101881316	Подшипник GE5E	Подшипник SKF GE5E												
101881319	Подшипник 6013			Подшипник SNR 6013										
101881330	Подшипник 1308K+H308				Подшипник KOYO 1308K+H308									
101883191	Подшипник 6014			Подшипник SNR 6014										
101883195	Подшипник 6015			Подшипник SNR 6015				Подшипник NSK EN15						
101883937	Подшипник 6018			Подшипник SNR 6018										
101887990	Подшипник 6020	Подшипник SKF  E20		Подшипник SNR 6020										
101888161	Подшипник GE6E	Подшипник SKF GE6E												
101890435	Подшипник 1200E				Подшипник KOYO 1200E									
101892470	Подшипник GE8E	Подшипник SKF GE8E												
101897258	Подшипник 1202				Подшипник KOYO 1202									
101902473	Подшипник 1203				Подшипник KOYO 1203									
101902602	Подшипник 1203TN9	Подшипник SKF 1203TN9												
101902603	Подшипник 1204				Подшипник KOYO 1204									
101914488	Подшипник 1205				Подшипник KOYO 1205									
101930133	Подшипник 1206			Подшипник SNR 1206K	Подшипник KOYO 1206									
101930156	Подшипник 1201E				Подшипник KOYO 1201E									
101930157	Подшипник 1206K			Подшипник SNR 1206K	Подшипник KOYO 1206K									
101930159	Подшипник 6005EE			Подшипник SNR 6005EE										
101930792	Подшипник GE12E	Подшипник SKF GE12E												
101954650	Подшипник 1207				Подшипник KOYO 1207									
101967736	Подшипник 1207TN9	Подшипник SKF 1207TN9												
101968847	Подшипник 1208				Подшипник KOYO 1208									
101969565	Подшипник 1209			Подшипник SNR 1209	Подшипник KOYO 1209									
101969567	Подшипник 202													
101980354	Подшипник 6021			Подшипник SNR 6021										
102012920	Подшипник 1210				Подшипник KOYO 1210									
102012921	Подшипник 1211				Подшипник KOYO 1211									
102055859	Подшипник 1212				Подшипник KOYO 1212									
102073928	Подшипник 1214				Подшипник KOYO 1214									
102073929	Подшипник 1215			Подшипник SNR 1215										
102075515	Подшипник 1216				Подшипник KOYO 1216									
102075517	Подшипник 6207				Подшипник KOYO 6207									
102081455	Подшипник 1216K				Подшипник KOYO 1216K									
102082432	Подшипник 1217				Подшипник KOYO 1217									
102090250	Подшипник 1218				Подшипник KOYO 1218									
102090265	Подшипник 6022			Подшипник SNR 6022										
102090267	Подшипник 1220				Подшипник KOYO 1220									
102090268	Подшипник 1221			Подшипник SNR 1221										
102090280	Подшипник 1224		Подшипник FAG 1224											
102090281	Подшипник NF308							Подшипник NSK NF308						
102090282	Подшипник NF310							Подшипник NSK NF310						
102090283	Подшипник NF315							Подшипник NSK NF315						
102090284	Подшипник 6024			Подшипник SNR 6024										
102090285	Подшипник NF418	Подшипник SKF NF418												
102090286	Подшипник QJ212	Подшипник SKF QJ212												
102090287	Подшипник QJ219	Подшипник SKF QJ219												
102090288	Подшипник QC35		Подшипник FAG QC35											
102090341	Подшипник 6028			Подшипник SNR 6028	Подшипник KOYO 628									
102090346	Подшипник 603					Подшипник EZO 603								
102090347	Подшипник 1302				Подшипник KOYO 1302									
102090360	Подшипник 1303				Подшипник KOYO 1303									
102090361	Подшипник 1304				Подшипник KOYO 1304									
102090362	Подшипник 1305				Подшипник KOYO 1305									
102090363	Подшипник 1307				Подшипник KOYO 1307									
102090364	Подшипник 1308				Подшипник KOYO 1308									
102090366	Подшипник 1309				Подшипник KOYO 1309									
102090367	Подшипник 1310				Подшипник KOYO 1310									
102090404	Подшипник 1313				Подшипник KOYO 1313									
102090406	Подшипник 1315				Подшипник KOYO 1315									
102090408	Подшипник 1316				Подшипник KOYO 1316									
102090409	Подшипник 1317				Подшипник KOYO 1317									
102090410	Подшипник 1318				Подшипник KOYO 1318									
102090454	Подшипник 6032				Подшипник KOYO 6032									
102090455	Подшипник 1320				Подшипник KOYO 1320									
102092690	Подшипник HK1516				Подшипник KOYO HK1516									
102092692	Подшипник 2200				Подшипник KOYO 2200									
102092693	Подшипник 2204				Подшипник KOYO 2204									
102092695	Подшипник 2205				Подшипник KOYO 2205									
102092696	Подшипник 2206				Подшипник KOYO 2206									
102092698	Подшипник 2207				Подшипник KOYO 2207									
102092700	Подшипник 2208				Подшипник KOYO 2208									
102092702	Подшипник 2209	Подшипник SKF N209MB			Подшипник KOYO 2209									
102092705	Подшипник 2210			Подшипник SNR N210EG15	Подшипник KOYO 2210									
102092706	Подшипник 608-RS				Подшипник KOYO 608-RS									
102092708	Подшипник 6009-RS				Подшипник KOYO 6009-RS									
102092709	Подшипник 6009E			Подшипник SNR 6009E										
102092720	Подшипник 6204-RS				Подшипник KOYO 6204-RS									
102092721	Подшипник 6204E			Подшипник SNR 6204E										
102092722	Подшипник 6205-RS				Подшипник KOYO 6205-RS									
102092724	Подшипник 6205E			Подшипник SNR 6205E										
102092725	Подшипник 6206E			Подшипник SNR 6206E										
102092726	Подшипник 6206-RS				Подшипник KOYO 6206-RS									
102092727	Подшипник 6302-E			Подшипник SNR 6302-E										
102092728	Подшипник 6306-RS				Подшипник KOYO 6306-RS									
102092729	Подшипник 62202-2RSR		Подшипник FAG 62202-2RSR											
102092740	Подшипник 62212-RS1	Подшипник SKF 62212-RS1												
102092742	Подшипник 2308				Подшипник KOYO 2308									
